contestant,season_name,season_number,original_tribe,original_tribe_color
21,"Alexander ""Xander"" Hastings",,,
26,Deshawn Radden,,,
32,Erika Casupanan,,,
Jackson Fox,42,42.0,,
22,"Zachary ""Zach"" Wurtenberger",,,
47,Marya Sherron,,,
43,Jenny Kim,,,
19,Swati Goel,,,
30,Daniel Strunk,,,
22,Lydia Meredith,,,
29,Chanelle Howell,,,
44,Rocksroy Bailey,,,
25,Tori Meehan,,,
29,Hai Giang,,,
35,"Andrea ""Drea"" Wheeler",,,
31,Omar Zaheer,,,
31,Lindsay Dolashewich,,,
29,Jonathan Young,,,
37,Romeo Escobar,,,
58,"Michael ""Mike"" Turner",,,
24,Maryanne Oketch,,,
Morriah Young,43,43.0,,
29,Justine Brennan,,,
43,Nneka Ejere,,,
42,Lindsay Carmine,,,
35,Geo Bustamante,,,
31,"Elisabeth ""Elie"" Scott",,,
22,Dwight Moore,,,
24,Jeanine Zheng,,,
37,James Jones,,,
24,Ryan Medrano,,,
25,Noelle Lambert,,,
19,Sami Layadi,,,
35,Cody Assenmacher,,,
28,Karla Cruz Godoy,,,
30,Jesse Lopez,,,
29,Owen Knight,,,
26,Cassidy Clark,,,
52,Mike Gabler,,,
Bruce Perreault,44,44.0,,
28,Maddy Pomilla,,,
29,Helen Li,,,
25,Claire Rafson,,,
27,Sarah Wade,,,
43,Matthew Grinstead-Mayle,,,
34,Josh Wilder,,,
27,"Matthew ""Matt"" Blankinship",,,
30,Brandon Cottom,,,
25,Kane Fritzler,,,
23,Frannie Marin,,,
32,Danny Massa,,,
35,Jaime Lynn Ruiz,,,
31,Lauren Harpe,,,
20,Carson Garrett,,,
35,Carolyn Wiger,,,
43,Heidi Lagares-Greenblatt,,,
36,"Yamil ""Yam Yam"" Arocho",,,
Hannah Rose,45,45.0,,
26,Brandon Donlon,,,
28,Sabiyah Broderick,,,
35,Sean Edwards,,,
23,"Brandon ""Brando"" Meyer",,,
24,"Janani ""J. Maya"" Krishnan-Jha",,,
30,"Nicholas ""Sifu"" Alsup",,,
29,Kaleb Gebrewold,,,
29,Kellie Nalbandian,,,
31,Kendra McQuarrie,,,
47,Bruce Perreault,,,
28,Emily Flippen,,,
23,Drew Basile,,,
49,Julie Alley,,,
35,Katurah Topps,,,
26,Jake O'Kane,,,
26,Austin Li Coon,,,
26,"Dianelys ""Dee"" Valladares",,,
David Jelinsky,46,46.0,,
37,"Jessica ""Jess"" Chong",,,
41,Randen Montalvo,,,
41,Bhanu Gopal,,,
31,"Jemila ""Jem"" Hussain-Adams",,,
28,Moriah Gaynor,,,
31,Tim Spicer,,,
27,"Sodasia ""Soda"" Thompson",,,
24,Tevin Davis,,,
28,Hunter McKnight,,,
33,Tiffany Nicole Ervin,,,
24,Venus Vafa,,,
29,"Quintavius ""Q"" Burdette",,,
48,Maria Shrime Gonzalez,,,
35,Liz Wilcox,,,
31,Ben Katzman,,,
26,Charlie Davis,,,
29,Kenzie Petty,,,
Jon Lovett,47,47.0,,
31,"Terran ""TK"" Foster",,,
32,Aysha Welch,,,
28,Kishan Patel,,,
26,Anika Dhar,,,
30,"Jerome ""Rome"" Cooney",,,
27,Tiyana Hallums,,,
27,Sierra Wright,,,
43,"Solomon ""Sol"" Yi",,,
26,Gabe Ortis,,,
31,Kyle Ostwald,,,
27,Caroline Vidmar,,,
31,Andy Rueda,,,
33,Genevieve Mushaluk,,,
24,"Christine ""Teeny"" Chirichillo",,,
59,Sue Smey,,,
24,Sam Phalen,,,
34,Rachel LaMont,,,
Stephanie Berger,48,48.0,,
34,Kevin Leung,,,
29,Justin Pioppi,,,
34,Thomas Krottinger,,,
33,Bianca Roses,,,
34,Charity Nelms,,,
30,"Saiounia ""Sai"" Hughley",,,
45,Cedrek McFadden,,,
55,Chrissy Sarnowsky,,,
38,Shauhin Davari,,,
24,Eva Erickson,,,
31,Kyle Fraser,,,
34,Mitch Guerra,,,
45,Joe Hunter,,,
31,Kamilla Karthigesu,,,
39,David Kinne,,,
28,Star Toomey,,,
31,Mary Zheng,,,
